geoid,name,B01003001,"B01003001, Error"
15000US060371131011,"BG 1, Tract 1131.01, Los Angeles, CA",1581,441
15000US060371131012,"BG 2, Tract 1131.01, Los Angeles, CA",1959,299
15000US060371131021,"BG 1, Tract 1131.02, Los Angeles, CA",1768,316
15000US060371131022,"BG 2, Tract 1131.02, Los Angeles, CA",1212,228
15000US060371132111,"BG 1, Tract 1132.11, Los Angeles, CA",1873,420
15000US060371132112,"BG 2, Tract 1132.11, Los Angeles, CA",2265,566
15000US060371132121,"BG 1, Tract 1132.12, Los Angeles, CA",869,177
15000US060371132122,"BG 2, Tract 1132.12, Los Angeles, CA",2003,361
15000US060371132131,"BG 1, Tract 1132.13, Los Angeles, CA",3483,661
15000US060371132132,"BG 2, Tract 1132.13, Los Angeles, CA",1585,357
15000US060371132311,"BG 1, Tract 1132.31, Los Angeles, CA",1062,246
15000US060371132312,"BG 2, Tract 1132.31, Los Angeles, CA",1171,166
15000US060371132321,"BG 1, Tract 1132.32, Los Angeles, CA",3107,606
15000US060371132322,"BG 2, Tract 1132.32, Los Angeles, CA",1670,339
15000US060371132341,"BG 1, Tract 1132.34, Los Angeles, CA",1177,385
15000US060371132342,"BG 2, Tract 1132.34, Los Angeles, CA",1080,336
15000US060371132343,"BG 3, Tract 1132.34, Los Angeles, CA",2386,1188
15000US060371132344,"BG 4, Tract 1132.34, Los Angeles, CA",997,378
15000US060371132351,"BG 1, Tract 1132.35, Los Angeles, CA",1690,324
15000US060371132371,"BG 1, Tract 1132.37, Los Angeles, CA",2953,877
15000US060371132372,"BG 2, Tract 1132.37, Los Angeles, CA",1812,830
15000US060371132381,"BG 1, Tract 1132.38, Los Angeles, CA",1165,435
15000US060371132382,"BG 2, Tract 1132.38, Los Angeles, CA",2801,676
15000US060371132383,"BG 3, Tract 1132.38, Los Angeles, CA",630,348
15000US060371132391,"BG 1, Tract 1132.39, Los Angeles, CA",888,219
15000US060371132392,"BG 2, Tract 1132.39, Los Angeles, CA",1246,217
15000US060371133011,"BG 1, Tract 1133.01, Los Angeles, CA",477,219
15000US060371133012,"BG 2, Tract 1133.01, Los Angeles, CA",3778,675
15000US060371133031,"BG 1, Tract 1133.03, Los Angeles, CA",2414,342
15000US060371133032,"BG 2, Tract 1133.03, Los Angeles, CA",1385,312
15000US060371133221,"BG 1, Tract 1133.22, Los Angeles, CA",2017,482
15000US060371133222,"BG 2, Tract 1133.22, Los Angeles, CA",2744,733
15000US060371133231,"BG 1, Tract 1133.23, Los Angeles, CA",2104,475
15000US060371133232,"BG 2, Tract 1133.23, Los Angeles, CA",1800,454
15000US060371133241,"BG 1, Tract 1133.24, Los Angeles, CA",2837,1567
15000US060371134231,"BG 1, Tract 1134.23, Los Angeles, CA",1444,685
15000US060371134232,"BG 2, Tract 1134.23, Los Angeles, CA",1401,310
15000US060371134241,"BG 1, Tract 1134.24, Los Angeles, CA",1867,580
15000US060371134242,"BG 2, Tract 1134.24, Los Angeles, CA",1266,281
15000US060371134251,"BG 1, Tract 1134.25, Los Angeles, CA",1396,482
15000US060371134252,"BG 2, Tract 1134.25, Los Angeles, CA",2858,772
15000US060371134261,"BG 1, Tract 1134.26, Los Angeles, CA",2302,339
15000US060371134271,"BG 1, Tract 1134.27, Los Angeles, CA",1562,409
15000US060371134272,"BG 2, Tract 1134.27, Los Angeles, CA",824,265
15000US060371134281,"BG 1, Tract 1134.28, Los Angeles, CA",1005,381
15000US060371134282,"BG 2, Tract 1134.28, Los Angeles, CA",1250,318
15000US060371134283,"BG 3, Tract 1134.28, Los Angeles, CA",1865,1528
15000US060371151011,"BG 1, Tract 1151.01, Los Angeles, CA",1510,449
15000US060371151012,"BG 2, Tract 1151.01, Los Angeles, CA",2312,482
15000US060371151013,"BG 3, Tract 1151.01, Los Angeles, CA",1212,403
15000US060371151031,"BG 1, Tract 1151.03, Los Angeles, CA",2606,54
15000US060371151041,"BG 1, Tract 1151.04, Los Angeles, CA",844,240
15000US060371151042,"BG 2, Tract 1151.04, Los Angeles, CA",1145,411
15000US060371151043,"BG 3, Tract 1151.04, Los Angeles, CA",1204,505
15000US060371151044,"BG 4, Tract 1151.04, Los Angeles, CA",1211,435
15000US060371152021,"BG 1, Tract 1152.02, Los Angeles, CA",1971,583
15000US060371152022,"BG 2, Tract 1152.02, Los Angeles, CA",2610,1046
15000US060371152023,"BG 3, Tract 1152.02, Los Angeles, CA",1453,371
15000US060371152031,"BG 1, Tract 1152.03, Los Angeles, CA",1484,346
15000US060371152032,"BG 2, Tract 1152.03, Los Angeles, CA",445,219
15000US060371152041,"BG 1, Tract 1152.04, Los Angeles, CA",1966,437
15000US060371152042,"BG 2, Tract 1152.04, Los Angeles, CA",1987,604
15000US060371153011,"BG 1, Tract 1153.01, Los Angeles, CA",1150,296
15000US060371153012,"BG 2, Tract 1153.01, Los Angeles, CA",1397,627
15000US060371153013,"BG 3, Tract 1153.01, Los Angeles, CA",991,289
15000US060371153014,"BG 4, Tract 1153.01, Los Angeles, CA",900,368
15000US060371153021,"BG 1, Tract 1153.02, Los Angeles, CA",1094,285
15000US060371153022,"BG 2, Tract 1153.02, Los Angeles, CA",1397,413
15000US060371153023,"BG 3, Tract 1153.02, Los Angeles, CA",1348,296
15000US060371154011,"BG 1, Tract 1154.01, Los Angeles, CA",1491,492
15000US060371154012,"BG 2, Tract 1154.01, Los Angeles, CA",762,369
15000US060371154013,"BG 3, Tract 1154.01, Los Angeles, CA",1975,549
15000US060371154014,"BG 4, Tract 1154.01, Los Angeles, CA",1409,554
15000US060371154031,"BG 1, Tract 1154.03, Los Angeles, CA",1333,326
15000US060371154032,"BG 2, Tract 1154.03, Los Angeles, CA",2046,861
15000US060371154041,"BG 1, Tract 1154.04, Los Angeles, CA",1247,399
15000US060371154042,"BG 2, Tract 1154.04, Los Angeles, CA",1372,383
15000US060371171011,"BG 1, Tract 1171.01, Los Angeles, CA",1926,357
15000US060371171012,"BG 2, Tract 1171.01, Los Angeles, CA",1362,515
15000US060371171013,"BG 3, Tract 1171.01, Los Angeles, CA",1945,629
15000US060371171021,"BG 1, Tract 1171.02, Los Angeles, CA",1120,331
15000US060371171022,"BG 2, Tract 1171.02, Los Angeles, CA",1307,238
15000US060371172011,"BG 1, Tract 1172.01, Los Angeles, CA",1329,362
15000US060371172012,"BG 2, Tract 1172.01, Los Angeles, CA",1175,409
15000US060371172013,"BG 3, Tract 1172.01, Los Angeles, CA",1604,440
15000US060371172021,"BG 1, Tract 1172.02, Los Angeles, CA",1836,414
15000US060371172022,"BG 2, Tract 1172.02, Los Angeles, CA",982,227
15000US060371173011,"BG 1, Tract 1173.01, Los Angeles, CA",1516,440
15000US060371173012,"BG 2, Tract 1173.01, Los Angeles, CA",1570,511
15000US060371173013,"BG 3, Tract 1173.01, Los Angeles, CA",722,259
15000US060371173021,"BG 1, Tract 1173.02, Los Angeles, CA",1291,592
15000US060371173022,"BG 2, Tract 1173.02, Los Angeles, CA",786,321
15000US060371173023,"BG 3, Tract 1173.02, Los Angeles, CA",1337,389
15000US060371173024,"BG 4, Tract 1173.02, Los Angeles, CA",1536,471
15000US060371173031,"BG 1, Tract 1173.03, Los Angeles, CA",2380,429
15000US060371173032,"BG 2, Tract 1173.03, Los Angeles, CA",1782,998
15000US060371174041,"BG 1, Tract 1174.04, Los Angeles, CA",729,340
15000US060371174042,"BG 2, Tract 1174.04, Los Angeles, CA",1547,1492
15000US060371174043,"BG 3, Tract 1174.04, Los Angeles, CA",2940,2510
15000US060371174051,"BG 1, Tract 1174.05, Los Angeles, CA",2516,513
15000US060371174052,"BG 2, Tract 1174.05, Los Angeles, CA",532,200
15000US060371174071,"BG 1, Tract 1174.07, Los Angeles, CA",809,227
15000US060371174072,"BG 2, Tract 1174.07, Los Angeles, CA",2376,449
15000US060371174081,"BG 1, Tract 1174.08, Los Angeles, CA",2505,370
15000US060371175101,"BG 1, Tract 1175.10, Los Angeles, CA",533,259
15000US060371175102,"BG 2, Tract 1175.10, Los Angeles, CA",1561,565
15000US060371175103,"BG 3, Tract 1175.10, Los Angeles, CA",1696,518
15000US060371175201,"BG 1, Tract 1175.20, Los Angeles, CA",2115,608
15000US060371175202,"BG 2, Tract 1175.20, Los Angeles, CA",2230,581
15000US060371175301,"BG 1, Tract 1175.30, Los Angeles, CA",1128,446
15000US060371175302,"BG 2, Tract 1175.30, Los Angeles, CA",1462,444
15000US060371175303,"BG 3, Tract 1175.30, Los Angeles, CA",1908,542
15000US060371175304,"BG 4, Tract 1175.30, Los Angeles, CA",1243,408
15000US060371190011,"BG 1, Tract 1190.01, Los Angeles, CA",2183,580
15000US060371190012,"BG 2, Tract 1190.01, Los Angeles, CA",2100,455
15000US060371190031,"BG 1, Tract 1190.03, Los Angeles, CA",900,355
15000US060371190032,"BG 2, Tract 1190.03, Los Angeles, CA",1221,625
15000US060371190033,"BG 3, Tract 1190.03, Los Angeles, CA",1211,359
15000US060371190041,"BG 1, Tract 1190.04, Los Angeles, CA",672,280
15000US060371190042,"BG 2, Tract 1190.04, Los Angeles, CA",2087,1108
15000US060371192011,"BG 1, Tract 1192.01, Los Angeles, CA",858,295
15000US060371192012,"BG 2, Tract 1192.01, Los Angeles, CA",1717,852
15000US060371192013,"BG 3, Tract 1192.01, Los Angeles, CA",1401,357
15000US060371192021,"BG 1, Tract 1192.02, Los Angeles, CA",611,313
15000US060371192022,"BG 2, Tract 1192.02, Los Angeles, CA",1639,654
15000US060371192023,"BG 3, Tract 1192.02, Los Angeles, CA",2424,602
15000US060371193101,"BG 1, Tract 1193.10, Los Angeles, CA",1887,479
15000US060371193102,"BG 2, Tract 1193.10, Los Angeles, CA",1880,500
15000US060371193201,"BG 1, Tract 1193.20, Los Angeles, CA",1773,408
15000US060371193202,"BG 2, Tract 1193.20, Los Angeles, CA",1384,419
15000US060371193203,"BG 3, Tract 1193.20, Los Angeles, CA",1135,356
15000US060371193401,"BG 1, Tract 1193.40, Los Angeles, CA",1748,446
15000US060371193402,"BG 2, Tract 1193.40, Los Angeles, CA",2000,341
15000US060371193411,"BG 1, Tract 1193.41, Los Angeles, CA",2744,365
15000US060371193421,"BG 1, Tract 1193.42, Los Angeles, CA",1640,337
15000US060371193422,"BG 2, Tract 1193.42, Los Angeles, CA",1151,290
15000US060371194001,"BG 1, Tract 1194, Los Angeles, CA",1173,560
15000US060371194002,"BG 2, Tract 1194, Los Angeles, CA",1489,594
15000US060371194003,"BG 3, Tract 1194, Los Angeles, CA",1988,650
15000US060371197001,"BG 1, Tract 1197, Los Angeles, CA",1791,785
