Label (Grouping);Total:;    White alone;    Black or African American alone;    American Indian and Alaska Native alone;    Asian alone;    Native Hawaiian and Other Pacific Islander alone;    Some Other Race alone;    Two or More Races:;        Two races including Some Other Race;        Two races excluding Some Other Race, and three or more races
"Block Group 1; Census Tract 1064.05; Los Angeles County; California!!Estimate";1.586;369;170;0;252;0;342;453;329;124
"Block Group 1; Census Tract 1064.05; Los Angeles County; California!!Margin of Error";±477;±283;±241;±13;±179;±13;±245;±355;±320;±172
"Block Group 2; Census Tract 1064.05; Los Angeles County; California!!Estimate";1.633;804;261;0;0;0;327;241;152;89
"Block Group 2; Census Tract 1064.05; Los Angeles County; California!!Margin of Error";±575;±427;±266;±13;±13;±13;±268;±142;±118;±94
"Block Group 3; Census Tract 1064.05; Los Angeles County; California!!Estimate";1.121;517;0;36;20;0;240;308;269;39
"Block Group 3; Census Tract 1064.05; Los Angeles County; California!!Margin of Error";±437;±307;±13;±56;±33;±13;±205;±328;±301;±60
"Block Group 1; Census Tract 1064.06; Los Angeles County; California!!Estimate";3.433;1.700;108;0;387;0;724;514;490;24
"Block Group 1; Census Tract 1064.06; Los Angeles County; California!!Margin of Error";±642;±626;±95;±13;±254;±13;±403;±332;±328;±40
"Block Group 2; Census Tract 1064.06; Los Angeles County; California!!Estimate";1.517;877;0;0;64;0;277;299;290;9
"Block Group 2; Census Tract 1064.06; Los Angeles County; California!!Margin of Error";±570;±447;±13;±13;±84;±13;±255;±335;±334;±15
"Block Group 3; Census Tract 1064.06; Los Angeles County; California!!Estimate";1.584;479;15;0;70;0;640;380;380;0
"Block Group 3; Census Tract 1064.06; Los Angeles County; California!!Margin of Error";±845;±300;±23;±13;±96;±13;±525;±606;±606;±13
"Block Group 1; Census Tract 1064.07; Los Angeles County; California!!Estimate";1.355;797;178;6;58;0;241;75;58;17
"Block Group 1; Census Tract 1064.07; Los Angeles County; California!!Margin of Error";±242;±243;±103;±9;±48;±13;±114;±49;±40;±27
"Block Group 2; Census Tract 1064.07; Los Angeles County; California!!Estimate";997;308;18;4;11;0;429;227;227;0
"Block Group 2; Census Tract 1064.07; Los Angeles County; California!!Margin of Error";±325;±192;±23;±7;±15;±13;±277;±190;±190;±13
"Block Group 1; Census Tract 1064.08; Los Angeles County; California!!Estimate";2.922;1.118;94;105;79;8;678;840;690;150
"Block Group 1; Census Tract 1064.08; Los Angeles County; California!!Margin of Error";±584;±317;±69;±136;±63;±12;±346;±484;±453;±152
"Block Group 2; Census Tract 1064.08; Los Angeles County; California!!Estimate";811;235;0;32;0;0;258;286;274;12
"Block Group 2; Census Tract 1064.08; Los Angeles County; California!!Margin of Error";±281;±139;±13;±40;±13;±13;±165;±169;±167;±18
"Block Group 1; Census Tract 1065.10; Los Angeles County; California!!Estimate";1.836;680;49;11;620;0;151;325;226;99
"Block Group 1; Census Tract 1065.10; Los Angeles County; California!!Margin of Error";±668;±309;±45;±24;±542;±13;±178;±301;±285;±81
"Block Group 2; Census Tract 1065.10; Los Angeles County; California!!Estimate";2.155;1.109;0;30;141;0;734;141;110;31
"Block Group 2; Census Tract 1065.10; Los Angeles County; California!!Margin of Error";±471;±403;±13;±50;±158;±13;±347;±113;±112;±32
"Block Group 3; Census Tract 1065.10; Los Angeles County; California!!Estimate";1.726;731;73;0;514;0;124;284;274;10
"Block Group 3; Census Tract 1065.10; Los Angeles County; California!!Margin of Error";±662;±295;±74;±13;±571;±13;±127;±192;±189;±18
"Block Group 1; Census Tract 1065.20; Los Angeles County; California!!Estimate";2.342;1.122;0;0;163;0;847;210;195;15
"Block Group 1; Census Tract 1065.20; Los Angeles County; California!!Margin of Error";±692;±635;±13;±13;±128;±13;±497;±160;±150;±22
"Block Group 2; Census Tract 1065.20; Los Angeles County; California!!Estimate";1.859;838;332;108;0;0;376;205;180;25
"Block Group 2; Census Tract 1065.20; Los Angeles County; California!!Margin of Error";±476;±318;±271;±115;±13;±13;±261;±149;±143;±39
"Block Group 3; Census Tract 1065.20; Los Angeles County; California!!Estimate";1.344;646;0;0;0;0;538;160;160;0
"Block Group 3; Census Tract 1065.20; Los Angeles County; California!!Margin of Error";±548;±327;±13;±13;±13;±13;±428;±184;±184;±13
"Block Group 1; Census Tract 1066.03; Los Angeles County; California!!Estimate";1.563;1.017;23;0;305;0;58;160;118;42
"Block Group 1; Census Tract 1066.03; Los Angeles County; California!!Margin of Error";±398;±370;±21;±13;±163;±13;±76;±110;±107;±35
"Block Group 2; Census Tract 1066.03; Los Angeles County; California!!Estimate";1.981;1.053;60;0;265;0;148;455;413;42
"Block Group 2; Census Tract 1066.03; Los Angeles County; California!!Margin of Error";±553;±304;±68;±13;±109;±13;±128;±489;±488;±41
"Block Group 1; Census Tract 1066.04; Los Angeles County; California!!Estimate";1.761;658;55;19;120;0;533;376;369;7
"Block Group 1; Census Tract 1066.04; Los Angeles County; California!!Margin of Error";±470;±310;±79;±33;±122;±13;±309;±359;±358;±13
"Block Group 2; Census Tract 1066.04; Los Angeles County; California!!Estimate";1.402;265;47;20;30;0;859;181;181;0
"Block Group 2; Census Tract 1066.04; Los Angeles County; California!!Margin of Error";±588;±208;±48;±31;±41;±13;±572;±143;±143;±13
"Block Group 3; Census Tract 1066.04; Los Angeles County; California!!Estimate";847;432;0;0;52;0;124;239;218;21
"Block Group 3; Census Tract 1066.04; Los Angeles County; California!!Margin of Error";±260;±193;±13;±13;±79;±13;±102;±219;±216;±40
"Block Group 1; Census Tract 1066.41; Los Angeles County; California!!Estimate";2.197;1.550;51;0;349;0;22;225;101;124
"Block Group 1; Census Tract 1066.41; Los Angeles County; California!!Margin of Error";±231;±250;±46;±13;±80;±13;±22;±102;±67;±74
"Block Group 1; Census Tract 1066.42; Los Angeles County; California!!Estimate";1.039;759;21;0;104;0;0;155;155;0
"Block Group 1; Census Tract 1066.42; Los Angeles County; California!!Margin of Error";±327;±225;±33;±13;±86;±13;±13;±176;±176;±13
"Block Group 2; Census Tract 1066.42; Los Angeles County; California!!Estimate";1.407;1.048;22;54;66;0;47;170;150;20
"Block Group 2; Census Tract 1066.42; Los Angeles County; California!!Margin of Error";±515;±502;±44;±74;±85;±13;±47;±136;±133;±24
"Block Group 3; Census Tract 1066.42; Los Angeles County; California!!Estimate";996;643;39;0;72;0;167;75;49;26
"Block Group 3; Census Tract 1066.42; Los Angeles County; California!!Margin of Error";±339;±253;±56;±13;±55;±13;±233;±56;±34;±43
"Block Group 1; Census Tract 1066.43; Los Angeles County; California!!Estimate";2.244;1.209;79;0;815;0;41;100;30;70
"Block Group 1; Census Tract 1066.43; Los Angeles County; California!!Margin of Error";±496;±322;±135;±13;±301;±13;±53;±98;±40;±75
"Block Group 2; Census Tract 1066.43; Los Angeles County; California!!Estimate";922;632;194;0;47;0;49;0;0;0
"Block Group 2; Census Tract 1066.43; Los Angeles County; California!!Margin of Error";±294;±228;±232;±13;±40;±13;±57;±13;±13;±13
"Block Group 3; Census Tract 1066.43; Los Angeles County; California!!Estimate";1.140;725;0;0;23;0;392;0;0;0
"Block Group 3; Census Tract 1066.43; Los Angeles County; California!!Margin of Error";±713;±340;±13;±13;±25;±13;±632;±13;±13;±13
"Block Group 1; Census Tract 1066.45; Los Angeles County; California!!Estimate";1.162;967;9;39;36;0;1;110;65;45
"Block Group 1; Census Tract 1066.45; Los Angeles County; California!!Margin of Error";±339;±341;±14;±62;±43;±13;±4;±82;±72;±44
"Block Group 2; Census Tract 1066.45; Los Angeles County; California!!Estimate";2.607;1.818;0;108;346;0;211;124;91;33
"Block Group 2; Census Tract 1066.45; Los Angeles County; California!!Margin of Error";±683;±594;±13;±93;±163;±13;±234;±95;±85;±39
"Block Group 1; Census Tract 1066.46; Los Angeles County; California!!Estimate";2.074;1.081;108;10;402;0;179;294;170;124
"Block Group 1; Census Tract 1066.46; Los Angeles County; California!!Margin of Error";±284;±228;±59;±23;±150;±13;±150;±130;±101;±81
"Block Group 2; Census Tract 1066.46; Los Angeles County; California!!Estimate";937;446;38;2;180;0;215;56;34;22
"Block Group 2; Census Tract 1066.46; Los Angeles County; California!!Margin of Error";±229;±144;±67;±6;±58;±13;±122;±44;±30;±34
"Block Group 1; Census Tract 1066.48; Los Angeles County; California!!Estimate";3.461;1.835;0;104;0;0;766;756;632;124
"Block Group 1; Census Tract 1066.48; Los Angeles County; California!!Margin of Error";±718;±529;±13;±298;±13;±13;±354;±438;±438;±109
"Block Group 2; Census Tract 1066.48; Los Angeles County; California!!Estimate";1.120;512;0;24;0;0;307;277;255;22
"Block Group 2; Census Tract 1066.48; Los Angeles County; California!!Margin of Error";±505;±321;±13;±6;±13;±13;±341;±198;±194;±38
"Block Group 1; Census Tract 1066.49; Los Angeles County; California!!Estimate";1.460;320;0;0;42;0;852;246;228;18
"Block Group 1; Census Tract 1066.49; Los Angeles County; California!!Margin of Error";±669;±181;±13;±13;±29;±13;±639;±128;±121;±19
"Block Group 2; Census Tract 1066.49; Los Angeles County; California!!Estimate";1.316;352;28;10;499;0;285;142;90;52
"Block Group 2; Census Tract 1066.49; Los Angeles County; California!!Margin of Error";±263;±127;±34;±13;±186;±13;±180;±72;±63;±38
"Block Group 1; Census Tract 1070.10; Los Angeles County; California!!Estimate";1.992;707;0;21;6;0;644;614;614;0
"Block Group 1; Census Tract 1070.10; Los Angeles County; California!!Margin of Error";±478;±301;±13;±26;±9;±13;±337;±286;±286;±13
"Block Group 2; Census Tract 1070.10; Los Angeles County; California!!Estimate";1.185;592;28;108;91;0;312;54;35;19
"Block Group 2; Census Tract 1070.10; Los Angeles County; California!!Margin of Error";±254;±228;±29;±133;±80;±13;±165;±38;±31;±21
"Block Group 1; Census Tract 1070.20; Los Angeles County; California!!Estimate";910;372;21;99;19;0;288;111;93;18
"Block Group 1; Census Tract 1070.20; Los Angeles County; California!!Margin of Error";±299;±268;±38;±125;±35;±13;±232;±107;±103;±28
"Block Group 2; Census Tract 1070.20; Los Angeles County; California!!Estimate";703;285;17;26;0;101;175;99;75;24
"Block Group 2; Census Tract 1070.20; Los Angeles County; California!!Margin of Error";±298;±206;±26;±42;±13;±142;±131;±103;±98;±37
"Block Group 3; Census Tract 1070.20; Los Angeles County; California!!Estimate";2.123;723;2;8;65;0;454;871;871;0
"Block Group 3; Census Tract 1070.20; Los Angeles County; California!!Margin of Error";±1,222;±402;±5;±13;±48;±13;±264;±1,048;±1,048;±13
"Block Group 4; Census Tract 1070.20; Los Angeles County; California!!Estimate";874;376;6;0;106;30;199;157;104;53
"Block Group 4; Census Tract 1070.20; Los Angeles County; California!!Margin of Error";±381;±246;±10;±13;±108;±51;±229;±129;±113;±72
"Block Group 1; Census Tract 1081.01; Los Angeles County; California!!Estimate";2.274;1.314;32;59;501;0;68;300;151;149
"Block Group 1; Census Tract 1081.01; Los Angeles County; California!!Margin of Error";±306;±279;±28;±85;±102;±13;±67;±177;±81;±137
"Block Group 1; Census Tract 1081.02; Los Angeles County; California!!Estimate";1.294;638;36;0;620;0;0;0;0;0
"Block Group 1; Census Tract 1081.02; Los Angeles County; California!!Margin of Error";±472;±308;±59;±13;±378;±13;±13;±13;±13;±13
"Block Group 2; Census Tract 1081.02; Los Angeles County; California!!Estimate";1.138;511;1;0;434;0;149;43;3;40
"Block Group 2; Census Tract 1081.02; Los Angeles County; California!!Margin of Error";±405;±240;±5;±13;±316;±13;±127;±40;±5;±40
"Block Group 3; Census Tract 1081.02; Los Angeles County; California!!Estimate";1.164;680;20;0;299;0;73;92;88;4
"Block Group 3; Census Tract 1081.02; Los Angeles County; California!!Margin of Error";±334;±239;±27;±13;±130;±13;±83;±96;±96;±6
"Block Group 1; Census Tract 1081.03; Los Angeles County; California!!Estimate";1.502;906;59;0;322;0;10;205;84;121
"Block Group 1; Census Tract 1081.03; Los Angeles County; California!!Margin of Error";±330;±300;±88;±13;±199;±13;±19;±155;±80;±133
"Block Group 2; Census Tract 1081.03; Los Angeles County; California!!Estimate";1.466;851;0;0;435;0;35;145;93;52
"Block Group 2; Census Tract 1081.03; Los Angeles County; California!!Margin of Error";±489;±393;±13;±13;±216;±13;±43;±129;±104;±72
"Block Group 1; Census Tract 1081.04; Los Angeles County; California!!Estimate";1.738;923;81;0;374;0;213;147;110;37
"Block Group 1; Census Tract 1081.04; Los Angeles County; California!!Margin of Error";±420;±391;±38;±13;±124;±13;±85;±121;±109;±24
"Block Group 1; Census Tract 1082.02; Los Angeles County; California!!Estimate";2.138;842;148;36;925;0;35;152;67;85
"Block Group 1; Census Tract 1082.02; Los Angeles County; California!!Margin of Error";±498;±286;±158;±54;±344;±13;±72;±127;±79;±96
"Block Group 2; Census Tract 1082.02; Los Angeles County; California!!Estimate";3.219;1.335;272;0;1.171;0;347;94;29;65
"Block Group 2; Census Tract 1082.02; Los Angeles County; California!!Margin of Error";±630;±441;±267;±13;±394;±13;±269;±97;±53;±81
"Block Group 3; Census Tract 1082.02; Los Angeles County; California!!Estimate";3.945;953;1.037;0;1.533;45;0;377;171;206
"Block Group 3; Census Tract 1082.02; Los Angeles County; California!!Margin of Error";±1,510;±430;±1,378;±13;±441;±75;±13;±297;±235;±213
"Block Group 1; Census Tract 1082.03; Los Angeles County; California!!Estimate";2.113;791;295;86;857;0;33;51;27;24
"Block Group 1; Census Tract 1082.03; Los Angeles County; California!!Margin of Error";±282;±206;±216;±107;±198;±13;±41;±46;±34;±31
"Block Group 2; Census Tract 1082.03; Los Angeles County; California!!Estimate";1.057;319;238;0;462;0;8;30;17;13
"Block Group 2; Census Tract 1082.03; Los Angeles County; California!!Margin of Error";±289;±138;±212;±13;±183;±13;±13;±35;±28;±21
"Block Group 1; Census Tract 1082.04; Los Angeles County; California!!Estimate";1.780;686;95;11;886;0;0;102;39;63
"Block Group 1; Census Tract 1082.04; Los Angeles County; California!!Margin of Error";±319;±326;±97;±18;±278;±13;±13;±80;±50;±50
"Block Group 1; Census Tract 1091; Los Angeles County; California!!Estimate";1.036;477;38;16;245;0;200;60;60;0
"Block Group 1; Census Tract 1091; Los Angeles County; California!!Margin of Error";±238;±210;±60;±26;±190;±13;±136;±47;±47;±13
"Block Group 2; Census Tract 1091; Los Angeles County; California!!Estimate";1.639;808;59;18;217;0;267;270;247;23
"Block Group 2; Census Tract 1091; Los Angeles County; California!!Margin of Error";±234;±251;±51;±26;±131;±13;±162;±139;±137;±25
"Block Group 1; Census Tract 1092; Los Angeles County; California!!Estimate";1.410;177;53;0;605;0;508;67;29;38
"Block Group 1; Census Tract 1092; Los Angeles County; California!!Margin of Error";±620;±98;±86;±13;±509;±13;±345;±80;±43;±63
"Block Group 2; Census Tract 1092; Los Angeles County; California!!Estimate";1.106;337;2;0;379;0;97;291;291;0
"Block Group 2; Census Tract 1092; Los Angeles County; California!!Margin of Error";±410;±135;±7;±13;±171;±13;±100;±302;±302;±13
"Block Group 3; Census Tract 1092; Los Angeles County; California!!Estimate";645;214;63;0;129;0;117;122;105;17
"Block Group 3; Census Tract 1092; Los Angeles County; California!!Margin of Error";±260;±140;±89;±13;±84;±13;±163;±166;±166;±24
"Block Group 1; Census Tract 1093; Los Angeles County; California!!Estimate";868;309;6;0;75;0;113;365;328;37
"Block Group 1; Census Tract 1093; Los Angeles County; California!!Margin of Error";±317;±126;±9;±13;±49;±13;±107;±250;±249;±33
"Block Group 2; Census Tract 1093; Los Angeles County; California!!Estimate";1.295;513;45;0;269;0;285;183;95;88
"Block Group 2; Census Tract 1093; Los Angeles County; California!!Margin of Error";±277;±180;±35;±13;±134;±13;±155;±134;±70;±114
"Block Group 3; Census Tract 1093; Los Angeles County; California!!Estimate";701;500;45;0;81;0;27;48;11;37
"Block Group 3; Census Tract 1093; Los Angeles County; California!!Margin of Error";±190;±175;±42;±13;±66;±13;±33;±43;±14;±40
"Block Group 1; Census Tract 1094; Los Angeles County; California!!Estimate";941;256;3;0;34;262;361;25;24;1
"Block Group 1; Census Tract 1094; Los Angeles County; California!!Margin of Error";±477;±215;±5;±13;±37;±254;±291;±34;±34;±2
"Block Group 2; Census Tract 1094; Los Angeles County; California!!Estimate";1.756;257;14;0;28;0;790;667;667;0
"Block Group 2; Census Tract 1094; Los Angeles County; California!!Margin of Error";±629;±168;±21;±13;±50;±13;±432;±590;±590;±13
"Block Group 3; Census Tract 1094; Los Angeles County; California!!Estimate";1.478;498;0;54;50;0;555;321;288;33
"Block Group 3; Census Tract 1094; Los Angeles County; California!!Margin of Error";±492;±260;±13;±56;±54;±13;±348;±341;±328;±51
"Block Group 1; Census Tract 1095; Los Angeles County; California!!Estimate";778;229;0;0;22;0;280;247;237;10
"Block Group 1; Census Tract 1095; Los Angeles County; California!!Margin of Error";±257;±238;±13;±13;±33;±13;±175;±213;±212;±17
"Block Group 2; Census Tract 1095; Los Angeles County; California!!Estimate";1.985;484;11;19;203;0;1.041;227;227;0
"Block Group 2; Census Tract 1095; Los Angeles County; California!!Margin of Error";±515;±219;±18;±31;±169;±13;±488;±305;±305;±13
"Block Group 3; Census Tract 1095; Los Angeles County; California!!Estimate";936;488;2;9;0;0;401;36;36;0
"Block Group 3; Census Tract 1095; Los Angeles County; California!!Margin of Error";±591;±217;±11;±15;±13;±13;±573;±56;±56;±13
"Block Group 1; Census Tract 1096.01; Los Angeles County; California!!Estimate";1.030;220;76;0;0;0;411;323;186;137
"Block Group 1; Census Tract 1096.01; Los Angeles County; California!!Margin of Error";±429;±167;±133;±13;±13;±13;±331;±313;±208;±210
"Block Group 2; Census Tract 1096.01; Los Angeles County; California!!Estimate";1.182;824;9;0;149;0;98;102;102;0
"Block Group 2; Census Tract 1096.01; Los Angeles County; California!!Margin of Error";±502;±498;±14;±13;±108;±13;±100;±144;±144;±13
"Block Group 3; Census Tract 1096.01; Los Angeles County; California!!Estimate";727;158;0;32;0;0;459;78;78;0
"Block Group 3; Census Tract 1096.01; Los Angeles County; California!!Margin of Error";±455;±121;±13;±48;±13;±13;±413;±97;±97;±13
"Block Group 4; Census Tract 1096.01; Los Angeles County; California!!Estimate";1.892;535;15;31;326;0;726;259;172;87
"Block Group 4; Census Tract 1096.01; Los Angeles County; California!!Margin of Error";±459;±241;±24;±35;±170;±13;±335;±185;±165;±78
"Block Group 1; Census Tract 1096.03; Los Angeles County; California!!Estimate";938;348;31;0;167;1;261;130;107;23
"Block Group 1; Census Tract 1096.03; Los Angeles County; California!!Margin of Error";±252;±151;±44;±13;±107;±2;±169;±88;±83;±27
"Block Group 2; Census Tract 1096.03; Los Angeles County; California!!Estimate";1.161;344;32;0;81;0;504;200;137;63
"Block Group 2; Census Tract 1096.03; Los Angeles County; California!!Margin of Error";±309;±153;±49;±13;±62;±13;±240;±149;±123;±94
"Block Group 3; Census Tract 1096.03; Los Angeles County; California!!Estimate";1.801;216;23;14;304;0;1.195;49;41;8
"Block Group 3; Census Tract 1096.03; Los Angeles County; California!!Margin of Error";±977;±115;±26;±28;±216;±13;±805;±50;±48;±15
"Block Group 1; Census Tract 1096.04; Los Angeles County; California!!Estimate";849;241;14;31;70;0;343;150;150;0
"Block Group 1; Census Tract 1096.04; Los Angeles County; California!!Margin of Error";±287;±115;±16;±37;±62;±13;±233;±103;±103;±13
"Block Group 2; Census Tract 1096.04; Los Angeles County; California!!Estimate";910;285;37;42;196;1;233;116;47;69
"Block Group 2; Census Tract 1096.04; Los Angeles County; California!!Margin of Error";±240;±135;±26;±48;±75;±3;±212;±86;±58;±72
"Block Group 3; Census Tract 1096.04; Los Angeles County; California!!Estimate";1.141;344;24;77;40;0;454;202;151;51
"Block Group 3; Census Tract 1096.04; Los Angeles County; California!!Margin of Error";±244;±128;±34;±82;±45;±13;±194;±134;±120;±70
"Block Group 1; Census Tract 1097; Los Angeles County; California!!Estimate";1.543;898;0;0;165;0;198;282;146;136
"Block Group 1; Census Tract 1097; Los Angeles County; California!!Margin of Error";±440;±349;±13;±13;±137;±13;±119;±210;±138;±164
"Block Group 2; Census Tract 1097; Los Angeles County; California!!Estimate";1.903;926;254;0;191;0;118;414;258;156
"Block Group 2; Census Tract 1097; Los Angeles County; California!!Margin of Error";±436;±375;±223;±13;±152;±13;±104;±205;±171;±116
"Block Group 3; Census Tract 1097; Los Angeles County; California!!Estimate";887;525;3;13;224;0;122;0;0;0
"Block Group 3; Census Tract 1097; Los Angeles County; California!!Margin of Error";±403;±321;±10;±21;±196;±13;±121;±13;±13;±13
"Block Group 1; Census Tract 1098; Los Angeles County; California!!Estimate";1.418;678;0;0;144;0;340;256;188;68
"Block Group 1; Census Tract 1098; Los Angeles County; California!!Margin of Error";±455;±357;±13;±13;±107;±13;±251;±253;±232;±94
"Block Group 2; Census Tract 1098; Los Angeles County; California!!Estimate";936;506;0;9;127;0;187;107;82;25
"Block Group 2; Census Tract 1098; Los Angeles County; California!!Margin of Error";±356;±255;±13;±15;±165;±13;±128;±139;±134;±41
"Block Group 3; Census Tract 1098; Los Angeles County; California!!Estimate";1.294;417;12;0;230;44;130;461;446;15
"Block Group 3; Census Tract 1098; Los Angeles County; California!!Margin of Error";±447;±179;±20;±13;±234;±61;±124;±302;±300;±20
"Block Group 4; Census Tract 1098; Los Angeles County; California!!Estimate";936;461;15;128;39;0;75;218;179;39
"Block Group 4; Census Tract 1098; Los Angeles County; California!!Margin of Error";±321;±255;±24;±183;±40;±13;±112;±148;±109;±52
"Block Group 1; Census Tract 1111; Los Angeles County; California!!Estimate";1.043;458;23;0;283;0;123;156;138;18
"Block Group 1; Census Tract 1111; Los Angeles County; California!!Margin of Error";±246;±152;±34;±13;±172;±13;±86;±107;±105;±17
"Block Group 2; Census Tract 1111; Los Angeles County; California!!Estimate";2.033;781;80;87;413;0;383;289;176;113
"Block Group 2; Census Tract 1111; Los Angeles County; California!!Margin of Error";±340;±196;±68;±128;±133;±13;±191;±167;±139;±75
"Block Group 1; Census Tract 1112.01; Los Angeles County; California!!Estimate";870;515;7;0;188;0;152;8;8;0
"Block Group 1; Census Tract 1112.01; Los Angeles County; California!!Margin of Error";±273;±225;±12;±13;±88;±13;±158;±12;±12;±13
"Block Group 2; Census Tract 1112.01; Los Angeles County; California!!Estimate";1.801;852;0;0;265;0;271;413;413;0
"Block Group 2; Census Tract 1112.01; Los Angeles County; California!!Margin of Error";±681;±357;±13;±13;±106;±13;±165;±594;±594;±13
"Block Group 3; Census Tract 1112.01; Los Angeles County; California!!Estimate";585;376;3;31;54;0;43;78;78;0
"Block Group 3; Census Tract 1112.01; Los Angeles County; California!!Margin of Error";±230;±206;±5;±55;±38;±13;±51;±97;±97;±13
"Block Group 1; Census Tract 1112.02; Los Angeles County; California!!Estimate";1.307;482;3;0;179;0;64;579;529;50
"Block Group 1; Census Tract 1112.02; Los Angeles County; California!!Margin of Error";±847;±151;±5;±13;±110;±13;±74;±824;±821;±51
"Block Group 2; Census Tract 1112.02; Los Angeles County; California!!Estimate";1.655;1.069;68;43;288;0;119;68;0;68
"Block Group 2; Census Tract 1112.02; Los Angeles County; California!!Margin of Error";±614;±599;±57;±66;±157;±13;±152;±51;±13;±51
"Block Group 3; Census Tract 1112.02; Los Angeles County; California!!Estimate";2.708;1.230;125;0;743;0;138;472;436;36
"Block Group 3; Census Tract 1112.02; Los Angeles County; California!!Margin of Error";±541;±483;±173;±13;±327;±13;±123;±384;±385;±48
"Block Group 1; Census Tract 1112.04; Los Angeles County; California!!Estimate";2.132;1.081;34;0;504;0;132;381;107;274
"Block Group 1; Census Tract 1112.04; Los Angeles County; California!!Margin of Error";±494;±263;±52;±13;±228;±13;±107;±244;±92;±266
"Block Group 2; Census Tract 1112.04; Los Angeles County; California!!Estimate";2.118;1.023;48;9;595;0;132;311;57;254
"Block Group 2; Census Tract 1112.04; Los Angeles County; California!!Margin of Error";±558;±402;±59;±14;±199;±13;±107;±186;±56;±194
"Block Group 3; Census Tract 1112.04; Los Angeles County; California!!Estimate";1.350;701;81;0;226;0;178;164;110;54
"Block Group 3; Census Tract 1112.04; Los Angeles County; California!!Margin of Error";±351;±247;±88;±13;±121;±13;±140;±136;±109;±68
"Block Group 1; Census Tract 1112.05; Los Angeles County; California!!Estimate";1.289;338;37;0;505;0;296;113;49;64
"Block Group 1; Census Tract 1112.05; Los Angeles County; California!!Margin of Error";±381;±141;±60;±13;±170;±13;±347;±87;±72;±63
"Block Group 2; Census Tract 1112.05; Los Angeles County; California!!Estimate";944;321;33;0;324;0;233;33;33;0
"Block Group 2; Census Tract 1112.05; Los Angeles County; California!!Margin of Error";±288;±195;±58;±13;±164;±13;±202;±52;±52;±13
"Block Group 3; Census Tract 1112.05; Los Angeles County; California!!Estimate";1.646;1.035;66;0;165;0;268;112;63;49
"Block Group 3; Census Tract 1112.05; Los Angeles County; California!!Margin of Error";±899;±834;±85;±13;±120;±13;±264;±95;±74;±56
"Block Group 1; Census Tract 1112.06; Los Angeles County; California!!Estimate";1.187;662;68;0;219;0;117;121;45;76
"Block Group 1; Census Tract 1112.06; Los Angeles County; California!!Margin of Error";±357;±316;±78;±13;±197;±13;±175;±112;±45;±105
"Block Group 2; Census Tract 1112.06; Los Angeles County; California!!Estimate";634;395;10;0;64;0;13;152;16;136
"Block Group 2; Census Tract 1112.06; Los Angeles County; California!!Margin of Error";±215;±171;±14;±13;±76;±13;±15;±105;±27;±100
"Block Group 3; Census Tract 1112.06; Los Angeles County; California!!Estimate";768;357;3;0;227;0;23;158;87;71
"Block Group 3; Census Tract 1112.06; Los Angeles County; California!!Margin of Error";±354;±312;±6;±13;±138;±13;±36;±119;±92;±75
"Block Group 4; Census Tract 1112.06; Los Angeles County; California!!Estimate";760;431;11;0;187;0;86;45;0;45
"Block Group 4; Census Tract 1112.06; Los Angeles County; California!!Margin of Error";±237;±158;±18;±13;±131;±13;±90;±59;±13;±59
"Block Group 5; Census Tract 1112.06; Los Angeles County; California!!Estimate";1.014;450;191;0;265;0;0;108;45;63
"Block Group 5; Census Tract 1112.06; Los Angeles County; California!!Margin of Error";±248;±156;±205;±13;±120;±13;±13;±100;±53;±66
"Block Group 1; Census Tract 1113.02; Los Angeles County; California!!Estimate";1.152;783;42;0;170;0;15;142;97;45
"Block Group 1; Census Tract 1113.02; Los Angeles County; California!!Margin of Error";±345;±196;±65;±13;±178;±13;±20;±128;±88;±70
"Block Group 2; Census Tract 1113.02; Los Angeles County; California!!Estimate";1.187;466;0;1;370;0;227;123;37;86
"Block Group 2; Census Tract 1113.02; Los Angeles County; California!!Margin of Error";±345;±175;±13;±3;±203;±13;±259;±97;±44;±85
"Block Group 3; Census Tract 1113.02; Los Angeles County; California!!Estimate";1.394;703;152;4;256;6;106;167;123;44
"Block Group 3; Census Tract 1113.02; Los Angeles County; California!!Margin of Error";±355;±263;±169;±8;±170;±10;±107;±109;±84;±53
"Block Group 4; Census Tract 1113.02; Los Angeles County; California!!Estimate";1.147;445;114;0;231;0;200;157;157;0
"Block Group 4; Census Tract 1113.02; Los Angeles County; California!!Margin of Error";±470;±405;±135;±13;±214;±13;±170;±140;±140;±13
"Block Group 1; Census Tract 1113.03; Los Angeles County; California!!Estimate";2.062;970;74;5;457;0;34;522;511;11
"Block Group 1; Census Tract 1113.03; Los Angeles County; California!!Margin of Error";±472;±347;±66;±9;±427;±13;±45;±393;±391;±19
"Block Group 2; Census Tract 1113.03; Los Angeles County; California!!Estimate";2.650;1.522;70;0;518;0;276;264;142;122
"Block Group 2; Census Tract 1113.03; Los Angeles County; California!!Margin of Error";±545;±575;±61;±13;±331;±13;±304;±156;±100;±111
"Block Group 1; Census Tract 1113.04; Los Angeles County; California!!Estimate";1.231;199;98;57;323;0;399;155;101;54
"Block Group 1; Census Tract 1113.04; Los Angeles County; California!!Margin of Error";±361;±158;±144;±110;±235;±13;±250;±162;±139;±86
"Block Group 2; Census Tract 1113.04; Los Angeles County; California!!Estimate";1.875;341;228;0;145;0;609;552;467;85
