Label (Grouping);Total:;    White alone;    Black or African American alone;    American Indian and Alaska Native alone;    Asian alone;    Native Hawaiian and Other Pacific Islander alone;    Some Other Race alone;    Two or More Races:;        Two races including Some Other Race;        Two races excluding Some Other Race, and three or more races
"Block Group 3; Census Tract 1192.01; Los Angeles County; California!!Margin of Error";±433;±335;±36;±50;±72;±13;±360;±193;±193;±13
"Block Group 1; Census Tract 1192.02; Los Angeles County; California!!Estimate";955;514;0;0;39;0;334;68;68;0
"Block Group 1; Census Tract 1192.02; Los Angeles County; California!!Margin of Error";±571;±392;±13;±13;±59;±13;±336;±75;±75;±13
"Block Group 2; Census Tract 1192.02; Los Angeles County; California!!Estimate";1.557;646;7;0;180;0;604;120;120;0
"Block Group 2; Census Tract 1192.02; Los Angeles County; California!!Margin of Error";±688;±458;±17;±13;±146;±13;±456;±163;±163;±13
"Block Group 3; Census Tract 1192.02; Los Angeles County; California!!Estimate";2.254;353;3;28;180;0;1.239;451;326;125
"Block Group 3; Census Tract 1192.02; Los Angeles County; California!!Margin of Error";±631;±262;±8;±50;±147;±13;±578;±387;±375;±93
"Block Group 1; Census Tract 1193.10; Los Angeles County; California!!Estimate";1.741;346;137;16;312;0;546;384;316;68
"Block Group 1; Census Tract 1193.10; Los Angeles County; California!!Margin of Error";±469;±179;±164;±17;±292;±13;±241;±229;±230;±60
"Block Group 2; Census Tract 1193.10; Los Angeles County; California!!Estimate";2.190;407;59;31;478;0;1.106;109;107;2
"Block Group 2; Census Tract 1193.10; Los Angeles County; California!!Margin of Error";±405;±184;±71;±43;±148;±13;±395;±82;±82;±5
"Block Group 1; Census Tract 1193.20; Los Angeles County; California!!Estimate";1.814;379;105;0;275;0;922;133;133;0
"Block Group 1; Census Tract 1193.20; Los Angeles County; California!!Margin of Error";±472;±123;±167;±13;±128;±13;±388;±162;±162;±13
"Block Group 2; Census Tract 1193.20; Los Angeles County; California!!Estimate";1.705;163;24;37;136;0;1.258;87;87;0
"Block Group 2; Census Tract 1193.20; Los Angeles County; California!!Margin of Error";±448;±124;±38;±59;±101;±13;±417;±116;±116;±13
"Block Group 3; Census Tract 1193.20; Los Angeles County; California!!Estimate";956;151;36;0;220;0;549;0;0;0
"Block Group 3; Census Tract 1193.20; Los Angeles County; California!!Margin of Error";±390;±133;±59;±13;±188;±13;±341;±13;±13;±13
"Block Group 1; Census Tract 1193.40; Los Angeles County; California!!Estimate";1.869;140;24;65;9;0;1.333;298;268;30
"Block Group 1; Census Tract 1193.40; Los Angeles County; California!!Margin of Error";±432;±151;±27;±93;±14;±13;±371;±252;±243;±43
